Pair,Return [%],Max DD [%],Avg DD [%],Win Rate [%],# Trades,Exposure [%]
EUR/USD,-75.42735778583626,-87.66699719116454,-87.66699719116454,35.064935064935064,77.0,20.226308345120223
GBP/USD,-97.6561658607344,-97.84245892092146,-73.63910291613814,28.000000000000004,75.0,19.19579713073348
USD/JPY,-86.85124833374869,-96.63819330133269,-20.13286965570468,33.33333333333333,87.0,22.02465144473631
AUD/USD,-98.21641196010506,-99.73272906994603,-31.741049867423566,32.857142857142854,70.0,22.772277227722775
USD/CAD,-73.86116158798816,-88.4341280030178,-17.77458809022951,38.46153846153847,78.0,24.5302081228531
AVERAGE,-86.40246910568251,-94.06290129727651,-46.19092154413209,33.54338994338995,77.4,21.74984845423318
